hexID,species,LAT,LON,NumObs,kingdom
3314,Macrocystis pyrifera,57.041733,-135.353133,2,Chromista
3314,Macrocystis pyrifera,57.044864,-135.314124,1,Chromista
3314,Macrocystis pyrifera,57.044886,-135.315074,1,Chromista
3314,Macrocystis pyrifera,57.044998,-135.313049,1,Chromista
3314,Macrocystis pyrifera,57.045164,-135.312785,1,Chromista
3314,Macrocystis pyrifera,57.045417,-135.316712,1,Chromista
3314,Macrocystis pyrifera,57.045573,-135.313625,1,Chromista
3314,Macrocystis pyrifera,57.046753,-135.338602,1,Chromista
3314,Macrocystis pyrifera,57.047042,-135.31781,1,Chromista
3314,Macrocystis pyrifera,57.047655,-135.318749,1,Chromista
3314,Macrocystis pyrifera,57.047687,-135.335684,1,Chromista
3314,Macrocystis pyrifera,57.047846,-135.3355,1,Chromista
3314,Macrocystis pyrifera,57.048176,-135.336427,1,Chromista
3314,Macrocystis pyrifera,57.048458,-135.352967,1,Chromista
3314,Macrocystis pyrifera,57.048498,-135.320958,1,Chromista
3314,Macrocystis pyrifera,57.048698,-135.32314,2,Chromista
3314,Macrocystis pyrifera,57.049221,-135.322998,1,Chromista
3314,Macrocystis pyrifera,57.050499,-135.330807,1,Chromista
3314,Macrocystis pyrifera,57.053219,-135.334551,1,Chromista
3314,Macrocystis pyrifera,57.150237,-135.562715,1,Chromista
3314,Macrocystis pyrifera,57.151111,-135.566667,1,Chromista
3314,Macrocystis pyrifera,57.287053,-135.58696,1,Chromista
3314,Macrocystis pyrifera,57.301886,-135.832721,1,Chromista
3314,Melanosiphon intestinalis,57.033333,-135.35,4,Chromista
3314,Melanosiphon intestinalis,57.040556,-135.345556,3,Chromista
3314,Melanosiphon intestinalis,57.041667,-135.346667,1,Chromista
3314,Melanosiphon intestinalis,57.045176,-135.303965,1,Chromista
3314,Melanosiphon intestinalis,57.048226,-135.322838,1,Chromista
3314,Melanosiphon intestinalis,57.136414,-135.372248,1,Chromista
3314,Miliammina fusca,57.13109,-135.370191,1,Chromista
3314,Miliammina fusca,57.13123,-135.370234,1,Chromista
3314,Miliammina fusca,57.131334,-135.370427,1,Chromista
3314,Miliolinella subrotunda,56.783025,-135.11674,1,Chromista
3314,Myrionema strangulans,57.053056,-135.33,3,Chromista
3314,Myrionema strangulans,57.064262,-135.339613,1,Chromista
3314,"Neoagarum H.Kawai & T.Hanyuda, 2017",57.046323,-135.299368,1,Chromista
3314,Nereocystis luetkeana,57.015436,-135.665188,1,Chromista
3314,Nereocystis luetkeana,57.022499,-135.35387,2,Chromista
3314,Nereocystis luetkeana,57.034945,-135.315288,1,Chromista
3314,Nereocystis luetkeana,57.047251,-135.320155,1,Chromista
3314,Nereocystis luetkeana,57.048312,-135.321178,1,Chromista
3314,Nereocystis luetkeana,57.048698,-135.32314,2,Chromista
3314,Nereocystis luetkeana,57.048938,-135.323163,1,Chromista
3314,Nereocystis luetkeana,57.049195,-135.323545,1,Chromista
3314,Nereocystis luetkeana,57.052069,-135.318483,1,Chromista
3314,Nereocystis luetkeana,57.052307,-135.349462,1,Chromista
3314,Nereocystis luetkeana,57.137529,-135.373308,1,Chromista
3314,Nereocystis luetkeana,57.157213,-135.57274,1,Chromista
3314,Nereocystis luetkeana,57.157873,-135.602407,1,Chromista
3314,Nereocystis luetkeana,57.301886,-135.832721,1,Chromista
3314,Noctiluca scintillans,57.050628,-135.33077,1,Chromista
3314,Noctiluca scintillans,57.175171,-135.561749,1,Chromista
3314,Nonionella auricula,56.783025,-135.11674,1,Chromista
3314,Nonionella auricula,57.037705,-135.211781,1,Chromista
3314,Nonionella pulchella,56.783025,-135.11674,1,Chromista
3314,Oolina apiopleura,56.783025,-135.11674,1,Chromista
3314,"Ophrydium Bory de St.Vincent, 1826",57.052403,-135.640079,1,Chromista
3314,"Ophrydium Bory de St.Vincent, 1826",57.087883,-135.357677,1,Chromista
3314,Ophrydium versatile,57.052434,-135.329465,1,Chromista
